OBJECTID,TICKET_NUMBER,VIOLATION_TYPE_DESC,ISSUE_DATE,ISSUE_TIME,ISSUING_AGENCY_CODE,ISSUING_AGENCY_NAME,ISSUING_AGENCY_SHORT,VIOLATION_CODE,VIOLATION_PROC_DESC,LOCATION,PLATE_STATE,VEHICLE_TYPE,MULTI_OWNER_NUMBER,DISPOSITION_CODE,DISPOSITION_TYPE,DISPOSITION_DESC,DISPOSITION_DATE,FINE_AMOUNT,TOTAL_PAID,PENALTY_1,PENALTY_2,PENALTY_3,PENALTY_4,PENALTY_5,XCOORD,YCOORD,LATITUDE,LONGITUDE,MAR_ID,GIS_LAST_MOD_DTTM
60628320,270252684,P,1480482000000,04:18 PM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,327 CEDAR ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1486530000000.0,25.0,0.0,25.0,,,,,398477.61,145235.05,38.975,-77.018,294822.0,1559103368000
60628321,270252695,P,1480482000000,04:20 PM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,327 CEDAR ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1486530000000.0,25.0,0.0,25.0,,,,,398477.61,145235.05,38.975,-77.018,294822.0,1559103368000
60628322,270252706,P,1480482000000,04:20 PM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,327 CEDAR ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1486530000000.0,25.0,0.0,25.0,,,,,398477.61,145235.05,38.975,-77.018,294822.0,1559103368000
60628323,270252710,P,1480482000000,04:21 PM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,327 CEDAR ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1486530000000.0,25.0,0.0,25.0,,,,,398477.61,145235.05,38.975,-77.018,294822.0,1559103368000
60628324,270252721,P,1480482000000,04:22 PM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,327 CEDAR ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1486530000000.0,25.0,0.0,25.0,,,,,398477.61,145235.05,38.975,-77.018,294822.0,1559103368000
60628325,270252732,P,1480482000000,04:25 PM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,327 CEDAR ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1486530000000.0,25.0,0.0,25.0,,,,,398477.61,145235.05,38.975,-77.018,294822.0,1559103368000
60628397,270252743,P,1480482000000,04:25 PM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,327 CEDAR ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1486530000000.0,25.0,0.0,25.0,,,,,398477.61,145235.05,38.975,-77.018,294822.0,1559103368000
60628398,270252754,P,1480482000000,04:25 PM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,327 CEDAR ST NW, ,,,,Other,,,25.0,25.0,,,,,,398477.61,145235.05,38.975,-77.018,294822.0,1559103368000
60628399,270252765,P,1480482000000,04:30 PM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,327 CEDAR ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1486530000000.0,25.0,0.0,25.0,,,,,398477.61,145235.05,38.975,-77.018,294822.0,1559103368000
60628400,270252776,P,1480482000000,04:30 PM,57,METRO POLICE,MTP,P170,FAILURE TO DISPLAY CURRENT TAGS,327 CEDAR ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1486530000000.0,100.0,0.0,100.0,,,,,398477.61,145235.05,38.975,-77.018,294822.0,1559103368000
60628401,270252780,P,1480482000000,04:35 PM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,327 CEDAR ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1486530000000.0,25.0,0.0,25.0,,,,,398477.61,145235.05,38.975,-77.018,294822.0,1559103368000
60628402,270252791,P,1480482000000,04:40 PM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,327 CEDAR ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1486530000000.0,25.0,0.0,25.0,,,,,398477.61,145235.05,38.975,-77.018,294822.0,1559103368000
60628447,269927534,P,1478318400000,02:30 PM,77,D.C. HOUSING AUTHORITY,DCHA,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,1133 NORTH CAPITOL ST NE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1482555600000.0,250.0,0.0,250.0,,,,,399280.82,137481.49,38.905,-77.008,149791.0,1559103368000
60628451,269927630,P,1477972800000,07:45 PM,77,D.C. HOUSING AUTHORITY,DCHA,P059,PARK IN A FIRE LANE,203 N ST SW, ,,,13.0,Liable - System,DEEMED LIABLE,1483419600000.0,50.0,100.0,50.0,,,,,398799.89,134136.04,38.875,-77.014,277800.0,1559103368000
